,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
42,74,75,75,76,76,74,75,75,75,74,75,76,74,75,75,74,77,78,77,77,78,78,77,78,79,78,79,77,77,76,76,77,78,78,79,78,77,78,79,75,76,76,0,5,1,3,4,4,2,3,3,4,6,2,2,1,2,1,1,2,3,2,26,27,27,27,27,28,29,27,26,30,28,27,28,27,28,28,26,26,28,47,46,55,47,51,45,44,51,45,51,53,51,50,45,48,52,45,43,42,51,53,46,42,50,48,43,44,51,44,46,50,50,47,43,49,52,42,42,46
43,76,77,77,78,78,76,77,75,77,76,77,78,76,77,77,76,80,81,80,80,81,81,80,81,82,81,82,80,80,79,79,80,81,81,82,81,80,81,82,78,79,79,5,0,4,6,5,5,7,4,4,7,1,5,5,6,5,6,6,3,2,7,29,30,30,30,30,31,32,30,29,31,29,30,31,30,29,31,29,29,31,49,48,53,49,53,47,46,49,47,53,51,53,52,47,49,50,47,43,44,53,51,48,44,48,48,45,46,49,46,46,48,52,47,45,51,54,44,44,46
44,73,74,74,75,75,73,74,74,74,75,74,75,73,74,74,73,78,79,78,78,79,79,78,79,80,79,80,78,78,77,77,78,79,79,80,79,78,79,80,76,76,77,1,4,0,2,3,3,3,2,2,3,5,1,1,2,1,2,2,3,2,3,27,28,28,28,28,29,30,28,27,29,29,28,29,28,27,29,27,27,29,46,45,54,46,52,44,43,50,44,50,52,52,51,44,47,51,44,42,41,52,52,45,41,49,47,42,43,50,43,45,49,51,46,42,50,53,41,41,45
45,71,72,72,73,73,71,72,72,72,73,72,73,71,72,72,71,76,77,76,76,77,77,76,77,78,77,78,76,76,75,75,76,77,77,78,77,76,77,78,74,74,75,3,6,2,0,3,5,5,4,4,1,7,3,3,4,3,4,4,5,4,5,29,30,30,30,30,31,32,30,29,31,31,30,31,30,29,31,29,29,31,46,45,55,46,52,44,43,51,44,51,53,52,51,44,47,52,44,42,41,52,53,45,41,50,47,42,43,51,43,45,50,52,46,42,50,53,41,41,45
46,72,73,73,74,74,72,73,73,73,74,73,74,72,73,73,72,78,79,78,78,79,79,78,79,80,79,80,78,78,77,77,78,79,79,80,79,78,79,80,76,75,77,4,5,3,3,0,4,6,1,3,4,6,4,4,5,4,5,5,4,5,6,30,31,31,31,31,32,33,31,30,32,30,31,32,31,30,32,30,30,32,47,46,52,47,53,45,44,48,45,50,50,53,52,45,48,49,45,43,42,53,50,46,42,47,48,43,44,48,44,46,47,53,47,43,51,54,42,42,46
47,74,75,75,76,76,74,75,75,75,76,75,76,74,75,75,74,79,80,79,79,80,80,79,80,81,80,81,79,79,78,78,79,80,80,81,80,79,80,81,77,77,78,4,5,3,5,4,0,6,3,1,6,6,4,4,5,4,5,5,4,5,6,29,30,30,30,30,31,32,30,29,31,29,31,31,30,29,31,29,29,31,46,45,52,46,52,44,43,48,44,50,50,52,51,44,47,49,44,42,41,52,50,45,43,47,47,42,43,48,43,45,47,51,46,42,50,53,41,43,45
48,75,76,76,77,77,75,76,76,76,75,76,77,75,76,76,75,78,79,78,78,79,79,78,79,80,79,80,78,78,77,77,78,79,79,80,79,78,79,80,76,77,77,2,7,3,5,6,6,0,5,5,4,8,4,4,3,4,3,3,4,5,4,28,29,29,29,29,30,31,29,28,32,30,29,30,29,30,30,28,28,30,47,46,57,47,51,45,44,51,45,51,53,51,50,45,48,52,45,43,42,51,53,46,42,50,48,43,44,51,44,46,50,50,47,43,49,52,42,42,46
49,73,74,74,75,75,73,74,74,74,75,74,75,73,74,74,73,79,80,79,79,80,80,79,80,81,80,81,79,79,78,78,79,80,80,81,80,79,80,81,77,76,78,3,4,2,4,1,3,5,0,2,5,5,3,3,4,3,4,4,3,4,5,29,30,30,30,30,31,32,30,29,31,29,30,31,30,29,31,29,29,31,48,47,52,48,54,46,45,48,46,50,50,54,53,46,49,49,46,44,43,54,50,47,43,47,49,44,45,48,45,47,47,53,48,44,52,55,43,43,47
50,74,75,75,76,76,74,75,75,75,76,75,76,74,75,75,74,79,80,79,79,80,80,79,80,81,80,81,79,79,78,78,79,80,80,81,80,79,80,81,77,77,78,3,4,2,4,3,1,5,2,0,5,5,3,3,4,3,4,4,3,4,5,28,29,29,29,29,30,31,29,28,30,28,30,30,29,28,30,28,28,30,47,46,53,47,53,45,44,49,45,51,51,53,52,45,48,50,45,43,42,53,51,46,42,48,48,43,44,49,44,46,48,52,47,43,51,54,42,42,46
51,71,72,72,73,73,71,72,72,72,73,72,73,71,72,72,71,76,77,76,76,77,77,76,77,78,77,78,76,76,75,75,76,77,77,78,77,76,77,78,74,74,75,4,7,3,1,4,6,4,5,5,0,8,4,4,5,4,5,5,6,5,6,30,31,31,31,31,32,33,31,30,32,32,31,32,31,30,32,30,30,32,47,46,56,47,53,45,44,52,45,52,54,53,52,45,48,53,45,43,42,53,54,46,42,51,48,43,44,52,44,46,51,53,47,43,51,54,42,42,46
